names,address,city,phone_number,dth_pack,subscription_status,customer_class,ott_subscription,dth_pack_price,no_of_channels,active_since,viewtime,churn
Autumn Jackson,"1166 Max Pine,Selenastad, OR 84999",Nicholasview,001-299-668-9887x055,Standard,True,Individual,None,350,400,1245,315,False
Tiffany Molina,"2897 Kari Skyway,Thomasside, ID 62645",New Davidtown,986-452-8168x704,HD,True,Individual,None,500,450,164,77,False
Andre King,"9308 Williams Islands,Shawnborough, UT 79074",Michaelshire,+1-652-466-9356x692,HD,True,Individual,None,500,450,773,27,True
Dale Franco,"989 Elizabeth Isle,Mayport, DC 08154",Lake Margaret,238.412.9721x813,HD,False,Home,Hulu,500,450,0,5632,True
Kimberly Taylor,"Unit 8082 Box 6829,DPO AP 84673",Justinbury,530.337.6650x868,Standard,True,Home,Netflix,350,400,814,91,False
James Sanchez,"24253 Williams Passage Suite 512,Amyberg, SD 04651",Port Stephen,(794)166-4960x466,Standard,False,Individual,Netflix,350,400,0,4592,False
Brian Graham,"7138 Peter Forges,Rebeccachester, FL 56150",Lake Cameron,001-309-833-3245,Standard,True,Home,Amazon Prime Video,350,400,1946,888,False
Julian Moore,"7921 Heather Summit,East Michaelhaven, MA 40081",Herreraside,(012)291-6630x28467,Standard,False,Individual,None,350,400,0,4204,True
Cynthia Hurst,"692 West Island,West Ryanside, MT 36752",North Paul,001-759-287-7473,HD,True,Commercial,Amazon Prime Video,500,450,12,3,False
Timothy Thomas,"44071 Chapman Hollow Apt. 253,New Bonniemouth, TX 59289",East Jasonport,(082)069-0331x234,Standard,False,Individual,None,350,400,0,6049,False
Emily Washington,"53855 Nathan Grove Suite 252,North Edwin, MS 72233",East Jacobchester,(177)405-5362x455,UHD,False,Individual,Netflix,700,500,0,7953,True
Jordan Valenzuela,"7032 Jones Field,Hernandezmouth, HI 72519",Port Brandi,(467)765-5891,UHD,True,Commercial,Other,700,500,1242,27,True
Kimberly Chambers,"85512 Baker Union,Stevenbury, AK 69663",Brookefurt,9695775541,Standard,True,Home,Amazon Prime Video,350,400,1686,81,False
Jill Jackson,"6087 Carolyn Forest Apt. 378,Margarethaven, WV 39962",Alexandraview,001-095-426-7005x269,Standard,False,Individual,Other,350,400,0,5596,False
Elizabeth Phillips,"91466 Nancy Landing,Port Robin, PA 12281",Warefurt,(147)914-1963x33200,HD,False,Individual,Netflix,500,450,0,8494,False
Matthew Brown,"49638 Andrew Square,Port Bradley, KY 18005",Richardborough,+1-044-563-5541x474,UHD,True,Commercial,Netflix,700,500,1089,280,True
Thomas Dean,"5953 James Street Suite 344,Jeffreyberg, FL 21464",Bradleymouth,3843807644,Standard,True,Home,Netflix,350,400,113,48,False
Melody Herman,"6208 Mckenzie Glen Apt. 751,Whitneyborough, NE 37739",South Christian,+1-875-054-3896x768,HD,True,Individual,Other,500,450,651,22,False
Melinda Moore,"0190 Stewart Parkway,East Michealshire, DC 49182",Marcusmouth,204.777.4651x49437,Standard,True,Individual,Netflix,350,400,1606,490,False
Mark West,"138 Johnston Tunnel,Kyleberg, AR 50412",West Joshuabury,(812)789-4872x18067,Standard,False,Individual,None,350,400,0,3270,False
Mrs. Allison Santos,"5862 Decker Ridges Apt. 937,Port Zachary, VT 07837",Allisonchester,359-935-1573,UHD,True,Commercial,Amazon Prime Video,700,500,1344,621,False
Michelle Singleton,"267 Garcia Port,North Christina, NV 06106",Geraldton,001-591-643-3018x8775,Standard,True,Commercial,None,350,400,671,291,False
Frank Ellison,"7340 Riddle Prairie,Robinsonside, LA 23496",Mooremouth,+1-406-482-2632x221,Standard,False,Home,Hulu,350,400,0,207,True
Kaitlin Reynolds,"2751 Watson Port,Maloneside, CT 17798",Adrienneburgh,533.950.0465,Standard,True,Home,None,350,400,377,112,True
Eddie Jimenez,"916 Davis Pines Suite 227,East Scottton, SC 58747",East Josephport,459-852-3816x2733,Standard,True,Home,Netflix,350,400,1839,365,True
Jacob Davis,"399 Robinson Dale,Gloriastad, VA 87481",Ruthmouth,001-977-994-6933x894,Standard,False,Home,Hulu,350,400,0,3126,False
Lisa Wagner,"223 Ellison Light,Samuelmouth, NV 75535",New Maryside,879-021-5236x02799,Standard,True,Home,Amazon Prime Video,350,400,772,118,True
Eric Williamson,"3884 Monique Mall Suite 398,North Johnny, NH 11920",Jameschester,(161)301-2844,Standard,True,Commercial,Amazon Prime Video,350,400,1105,141,False
Victoria Hinton,"165 Angela Dale Suite 084,Port Aaronhaven, CO 40057",Port Samuel,(797)824-2507,Standard,True,Home,Hulu,350,400,1053,446,False
Keith Horne,"Unit 6917 Box 2976,DPO AP 65839",South Timothymouth,761.290.3647x50974,Standard,True,Home,Netflix,350,400,18,3,False
Mark Miller,"7884 Cook Dam Suite 104,New Morganside, NM 09438",North Joeborough,259.721.7853x51730,Standard,True,Individual,Netflix,350,400,1919,459,False
Angela Murphy,"50510 Mason Stravenue,Port Raymond, GA 95078",South Brianna,543-019-3126,Standard,True,Commercial,Netflix,350,400,921,77,True
Alexander Harrison,"097 James Fields Apt. 809,Lake Stephenberg, TN 27587",Kaufmanborough,872-376-1881,Standard,True,Individual,None,350,400,1796,291,False
Crystal Ruiz,"1612 Mckinney Course Suite 348,Lake Kaitlynhaven, CA 03813",Wattstown,001-224-933-0774x51306,Standard,True,Individual,Hulu,350,400,780,78,False
Brianna Martinez,"797 Gardner Rue,East Jacob, VA 14835",Marthafort,144.540.7723x02123,UHD,True,Individual,Amazon Prime Video,700,500,1990,297,True
Zachary Rodriguez,"32757 Williams Drives Suite 336,Dixonfort, KY 69077",Emilyberg,772-547-6429x37360,Standard,True,Individual,None,350,400,266,74,False
Daniel Oliver,"38708 Virginia Lock,Harrisonbury, MS 85774",South Chelseastad,(177)807-6570x33715,Standard,True,Individual,Netflix,350,400,1076,222,True
Dean Brewer,"07301 Mary Point Suite 645,Thomaston, MO 86590",Lindafort,757.767.5107x4270,Standard,True,Home,Netflix,350,400,366,73,False
Robert Blevins,"60200 Smith Rapid Suite 066,Conwayberg, NM 42438",South Jeanne,294.693.0571x431,Standard,True,Individual,Netflix,350,400,1542,579,True
Natalie Jacobs,"PSC 1986, Box 7381,APO AP 73853",Simsshire,(371)878-1400,Standard,True,Individual,None,350,400,462,115,True
Mark Vega,"569 Margaret Prairie Apt. 877,Melvinborough, WI 94313",Houstonfurt,+1-660-311-0999x087,UHD,False,Individual,Other,700,500,0,7159,False
Laura Dodson,"0874 Hines Views,New Samanthabury, GA 09521",New Amy,823.952.0957x427,UHD,True,Individual,Other,700,500,1149,159,False
Taylor Poole,"392 Emily Drives Apt. 619,Richardview, CO 52865",Port Jenniferside,(028)119-9141x75643,Standard,False,Individual,Other,350,400,0,9106,False
Cheyenne Smith,"97843 James Radial Apt. 367,Lake Ronald, ND 40123",Jennifermouth,825-656-3071,HD,True,Home,None,500,450,1329,407,False
Andrew George,"332 Smith Trail,Olsonfurt, NC 07094",Rayview,001-819-667-3712x5659,UHD,True,Individual,Amazon Prime Video,700,500,486,195,False
Hannah Garcia,"80282 Sarah Garden,Janetberg, NC 10073",North Vanessatown,+1-543-297-3442x34031,Standard,True,Commercial,Amazon Prime Video,350,400,1796,584,False
Gabrielle Clark,"58557 Walter Common Suite 294,New Brian, NM 00707",Hallburgh,444.165.8911,Standard,False,Individual,Netflix,350,400,0,6220,False
Philip Smith,"Unit 8456 Box 8758,DPO AE 58253",Jamesberg,087-297-7384,Standard,False,Individual,Netflix,350,400,0,9199,True
Erica Brown,"344 Christopher Viaduct Apt. 225,West Brooke, WV 39202",East Christopherland,(902)421-8704x98726,UHD,False,Individual,Amazon Prime Video,700,500,0,5919,True
Joan Jackson,"6362 Travis Underpass,Andersonshire, IN 14552",Nguyenfort,(249)417-1808x7088,Standard,False,Home,Netflix,350,400,0,6801,True
Sydney Avery,"Unit 7409 Box 0657,DPO AA 33292",New Johnport,354.616.4371,Standard,True,Individual,Netflix,350,400,872,47,False
Todd Griffin,"41042 Murphy Pines,Powershaven, DE 80234",North Christophermouth,+1-910-036-6462x07442,Standard,False,Home,Other,350,400,0,8064,False
Brenda Smith,"523 Klein Glen,Ericksonfort, SC 07130",Thompsonview,(094)590-6846,Standard,True,Individual,Netflix,350,400,1985,923,False
Kaylee Davis,"208 Sarah Field Suite 873,Emilybury, NC 55192",Butlerburgh,6113063568,HD,True,Home,None,500,450,495,211,False
Virginia Evans,"3252 Carol Ways,Port Leeborough, MD 95451",East Davidside,416.643.4183x8975,Standard,True,Home,Other,350,400,60,20,True
Amy Hernandez,"149 Anderson Lake Apt. 598,Harveychester, SC 72786",New Melissa,362.746.7232x760,Standard,True,Individual,None,350,400,1054,141,False
Hunter Hunter,"Unit 6429 Box 4441,DPO AA 37073",New Andrewchester,0803238395,Standard,False,Individual,Netflix,350,400,0,2723,False
Ralph Pearson,"37425 Gregory Rapid,North Dianaborough, AL 56292",Williamsmouth,001-908-577-1880,UHD,False,Home,None,700,500,0,4825,False
Timothy Herman,"2070 Michelle Burg,Lake Timothymouth, IA 55710",Port Phyllis,2697312006,Standard,True,Home,Other,350,400,740,6,False
Jeffrey Williams,"09646 Jessica Locks Suite 417,Huberstad, AL 74462",New Crystalfort,+1-310-162-7224x251,Standard,True,Home,Amazon Prime Video,350,400,83,34,True
Cynthia Douglas,"77754 Kim Turnpike Apt. 007,Caseytown, ME 39920",Marcusmouth,197-146-4935x6751,Standard,False,Individual,Netflix,350,400,0,7960,False
Jason Martinez DDS,"7279 Moore Ville Suite 806,Tiffanyport, OK 78816",South Maria,688.677.9080x910,Standard,True,Individual,Amazon Prime Video,350,400,570,86,True
Christopher Espinoza,"60128 Martin Stravenue Suite 648,Michaelhaven, CT 44908",Lake Juanfurt,793-784-5060x156,HD,False,Individual,Amazon Prime Video,500,450,0,4637,False
Timothy Turner,"4255 Maureen Lakes Apt. 050,New Emilyport, MA 11898",Petersonview,+1-230-572-1451,UHD,False,Individual,None,700,500,0,7557,False
Brian Brown,"1504 Jade Mission,North Karenburgh, HI 46942",Deanburgh,(068)718-1996x663,Standard,False,Home,None,350,400,0,8089,False
David Miranda,"521 Michael Mountain,Gregorybury, NY 96205",West Johnhaven,765.010.8447x45037,UHD,False,Individual,Hulu,700,500,0,9032,True
Michael Harris,"47244 Rice Groves Apt. 933,East Henry, MA 96891",Mariabury,7949096059,Standard,True,Individual,Amazon Prime Video,350,400,583,275,False
Jeffrey Reese,"PSC 4293, Box 8414,APO AA 81509",Ashleymouth,178.741.0114,UHD,True,Individual,Netflix,700,500,1748,74,False
John Huffman,"51173 Michael Drives,Port Tina, TX 22854",Mullinsborough,+1-981-019-3471x66557,Standard,True,Individual,Netflix,350,400,362,57,True
Deanna Lozano,"9922 Krueger Junctions,Parkerville, ND 22084",Osbornborough,127-257-7334,Standard,False,Individual,None,350,400,0,7004,False
John Pearson,"50426 Erica Hollow,South Douglas, NV 50019",Lake Jasontown,+1-812-279-4426x48865,Standard,False,Individual,Hulu,350,400,0,8373,False
Michael Martinez,"442 Dorsey Underpass,Dwayneburgh, HI 24055",Merrittside,922.579.5744x07941,HD,True,Individual,Hulu,500,450,529,175,False
Cheryl Adkins,"903 Ware Corner Suite 967,Jacquelineland, NM 55048",South John,001-007-311-5967x2674,HD,True,Home,Hulu,500,450,638,126,True
Erika Cantrell,"1314 Miller Club,Charlesstad, NV 46801",South Mary,294-705-5839x94487,Standard,True,Individual,Other,350,400,1767,10,False
Kathleen Lopez,"5990 Amy Parks,New Joanna, HI 10958",Port Joseph,(474)673-4944x7592,HD,True,Individual,Hulu,500,450,1566,420,True
Randy Pennington,"PSC 6054, Box 7114,APO AE 47012",New Daniel,814-053-3101x25294,Standard,True,Individual,Other,350,400,1275,193,False
John Bass DVM,"392 Thomas Forge,Lake Kellyland, MN 35644",Margaretmouth,4272193761,Standard,True,Home,Netflix,350,400,1550,545,False
Anne Case,"USCGC Smith,FPO AE 21147",Kellerland,(113)765-3657x90601,Standard,True,Individual,Netflix,350,400,104,32,False
Nathan Williams,"Unit 5841 Box 5936,DPO AP 56354",East Christopher,+1-677-349-8256,HD,True,Home,None,500,450,1702,232,True
Richard Romero,"90260 Alexander Ridges,East Juanfort, CA 36453",West Tony,(653)620-1630x1389,Standard,True,Commercial,Other,350,400,1844,29,False
Cheryl Morgan,"02119 Megan Run,Lake Nicole, ID 65318",Tylermouth,(081)354-6021,HD,True,Individual,Amazon Prime Video,500,450,131,64,False
Vincent Martinez DVM,"05393 Brooke Underpass Apt. 728,West Peterstad, IL 60493",Lake Kristin,597-213-3131,Standard,True,Individual,Netflix,350,400,1505,162,True
Jennifer Cooper,"417 Macdonald Field,Paceland, KS 24386",Chapmanport,+1-168-676-0007x870,HD,False,Individual,Netflix,500,450,0,8406,False
Anthony Franklin,"7694 Salazar Mountains Apt. 210,East Timothy, NH 23768",East Tyler,001-358-792-6808,Standard,True,Home,Other,350,400,752,334,True
Katherine Dean,"650 Bowman Parkways Suite 033,Port Melissa, AR 36933",South Jasonport,(024)752-8950x3336,Standard,True,Individual,Netflix,350,400,1744,465,False
Tammy Romero,"6641 Martin Lock,Lake Joseph, MI 27524",East Rachel,(316)914-3441x73499,UHD,True,Individual,None,700,500,1378,486,False
Kelly Day,"417 Perkins Key Apt. 925,Kaylaberg, OH 87377",Kimmouth,(539)852-5426x99715,Standard,True,Home,None,350,400,1111,135,False
Aimee Jones,"352 Wright Locks,Garciaside, KS 29576",Josephbury,744.410.6230x689,Standard,True,Individual,Other,350,400,1278,282,False
Aaron Kennedy,"48602 George Glens Apt. 844,Port Scotthaven, ID 17350",Deborahhaven,001-312-551-2601,Standard,True,Home,Netflix,350,400,1526,495,False
Courtney Bishop,"9214 Tate Burg,West Deannafort, VT 63345",Jamiefort,794-677-8689,HD,True,Commercial,Amazon Prime Video,500,450,32,10,False
Angela Turner,"PSC 6875, Box 1790,APO AP 92396",North Lisaland,001-668-764-1787x810,Standard,True,Individual,None,350,400,437,79,False
Grace Ross,"Unit 2666 Box 4902,DPO AA 37845",West Luis,001-377-546-8865x30164,Standard,True,Individual,Hulu,350,400,1327,329,False
Jason Aguilar,"2703 Melissa Parks,Stephaniefurt, NH 47910",Paultown,(033)266-4245x87041,Standard,True,Individual,None,350,400,1538,672,True
Brandon Long,"9428 Patterson Mountain,Mossstad, NV 88721",Reginamouth,+1-345-843-8572,Standard,True,Individual,None,350,400,1244,557,False
Margaret Smith,"0508 Andrea Knolls,Ramosmouth, MT 52462",Olsonstad,885-579-5836,Standard,True,Commercial,None,350,400,798,150,False
Rachel Evans,"83296 Kimberly Trace Suite 171,Lake Jenniferland, NJ 65333",Karlside,+1-101-033-9901,UHD,True,Home,Other,700,500,1272,119,False
Brian Hunt,"7450 Andrew Views,East Mark, NV 82808",Lake Cathy,+1-962-253-6798x737,Standard,False,Individual,Netflix,350,400,0,174,False
Joanna Barnett,"4182 Harper Street,Ericshire, MN 12876",Joshuahaven,001-140-631-5846x81876,Standard,False,Home,Netflix,350,400,0,2331,False
Melissa Crawford,"23345 Carroll Crescent Suite 999,New Sarahbury, MA 02332",New Marcus,562.329.3878x10614,Standard,True,Home,Amazon Prime Video,350,400,95,7,False
Andrea Huerta,"015 Alexis Center,Lake Michael, CO 40082",West Chelsea,647.077.7448x673,Standard,True,Commercial,Amazon Prime Video,350,400,1410,434,False
Michael Chavez,"86707 Miller Trafficway,Port Leslie, AL 66629",Scotthaven,(411)338-0801x2263,Standard,True,Individual,Other,350,400,1545,344,False
Matthew Hansen,"5556 Jeremy Tunnel Apt. 036,Antonioland, OK 67516",Mikefurt,546-464-2151x37442,HD,True,Home,Other,500,450,1099,193,False
Christine Smith,"7165 Eric Estate,Port Johnfort, WV 80401",New Karen,6286642923,Standard,True,Individual,None,350,400,72,11,False
